xpathparser:0,xpathparser:1,xpathparser:2,xpathparser:4,xpathparser:5,xpathparser:6,xpathparser:7,xpathparser:8,xpathparser:9
59,SSP,bath,Junction of Tai Nan Street and Boundary Street,N/A,N/A,N/A,7 a.m. to 9 a.m.\n4:30 p.m. to 8:30 p.m.,"22.32650,114.16404",0
60,SSP,bath,193 Nam Cheong Street,N/A,N/A,N/A,7 a.m. to 9 a.m.\n4:30 p.m. to 8:30 p.m.,"22.33120,114.16458",0
61,KT,bath,"Side of No.90, Cha Kwo Ling Main Street",N/A,N/A,N/A,7 a.m. to 9 a.m.\n4:30 p.m. to 8:30 p.m.,"22.300746,114.228289",0
62,KT,bath,"No.1, Ting Fu Street, Ngau Tau Kok",N/A,N/A,N/A,7 a.m. to 9 a.m.\n4:30 p.m. to 8:30 p.m.,"22.317589,114.216483",0
63,KT,bath,"Entrance of Ma Wan Village, Lei Yue Mun",N/A,N/A,N/A,7 a.m. to 9 a.m.\n4:30 p.m. to 8:30 p.m.,"22.287944,114.237475",0
64,KC,bath,"No. 180, Kowloon City Road",N/A,N/A,N/A,7 a.m. to 9 a.m.\n4:30 p.m. to 8:30 p.m.,"22.321422,114.190714",0
65,Is,bath,"Peak Road, Cheung Chau",N/A,N/A,N/A,7 a.m. to 9 a.m.\n4:30 p.m. to 8:30 p.m.,"22.207444,114.030256",0
66,Is,bath,"Wing On Side Street, Peng Chau",N/A,N/A,N/A,7 a.m. to 9 a.m.\n4:00 p.m. to 8:00 p.m.,"22.284556,114.038472",0
67,TW,bath,Ma Wan Fisherman Village,N/A,N/A,N/A,24 hours,"22.349617,114.055697",0
68,YL,bath,"Sai Ching Street (Near Manhattan Plaza), Yuen Long",N/A,N/A,N/A,7 a.m. to 9 a.m.\n4:30 p.m. to 8:30 p.m.,"22.44185,114.028778",0
69,TP,bath,"Pak Shing Street, Tai Po",N/A,N/A,N/A,7 a.m. to 9 a.m.\n4:30 p.m. to 8:30 p.m.,"22.44935,114.16310",0
70,ST,bath,"No. 31, Shing Ho Road, Tai Wai",N/A,N/A,N/A,7 a.m. to 9 a.m.\n4:30 p.m. to 8:30 p.m.,"22.376046,114.179425",0
71,SK,bath,Yi Chun Street,N/A,N/A,N/A,7 a.m. to 9 a.m.\n4:30 p.m. to 8:30 p.m.,"22.380219,114.271831",0
72,N,bath,"Junction of San Shing Avenue and Fu Hing Street, Sheung Shui",N/A,N/A,N/A,7 a.m. to 9 a.m.\n4:30 p.m. to 8:30 p.m.,"22.50474,114.12941",0
73,N,bath,"Luen Cheong Street, Fanling",N/A,N/A,N/A,7 a.m. to 9 a.m.\n4:30 p.m. to 8:30 p.m.,"22.499456,114.143247",0
74,N,bath,"Che Ping Street, Sha Tau Kok",N/A,N/A,N/A,7 a.m. to 9 a.m.\n4:30 p.m. to 8:30 p.m.,"22.545281,114.224803",0
75,CW,hawker_fixpitch,Li Yuen Street East,N/A,N/A,N/A,N/A,"22.282827,114.156409",0
76,CW,hawker_fixpitch,Li Yuen Street West,N/A,N/A,N/A,N/A,"22.283123,114.156197",0
77,CW,hawker_fixpitch,Graham Street,N/A,N/A,N/A,N/A,"22.283066,114.153568",0
78,MK,hawker_fixpitch,Tung Choi Street,N/A,N/A,N/A,N/A,"22.316323,114.171167",0
79,MK,hawker_fixpitch,Canton Road,N/A,N/A,N/A,N/A,"22.31753,114.16751",0
80,MK,hawker_fixpitch,Nelson Street,N/A,N/A,N/A,N/A,"22.31866,114.17072",0
81,MK,hawker_fixpitch,Fa Yuen Street,N/A,N/A,N/A,N/A,"22.32277,114.17043",0
82,SSP,hawker_fixpitch,Ki Lung Street,N/A,N/A,N/A,N/A,"22.32788,114.16326",0
83,SSP,hawker_fixpitch,Tai Nan Street,N/A,N/A,N/A,N/A,"22.328675,114.161391",0
84,SSP,hawker_fixpitch,Pei Ho Street,N/A,N/A,N/A,N/A,"22.331523,114.163749",0
